
  Id     Duration CommandLine
  84        8.265 python scripts/01_score_job.py intake\00001.Collective_Health.02052026.1328.md --no-move
  85        0.010 clear
  86        6.828 python scripts/01_score_job.py intake\00001.Collective_Health.02052026.1328.md --no-move
  87        0.023 ls .\data\jobs
  88        0.232 clear
  89        8.363 python scripts/01_score_job.py intake\00001.Collective_Health.02052026.1328.md --no-move
  90        0.232 clear
  91        0.248 ls .\data\jobs\
  92        0.059 python -m scripts.02_decide_job --uuid cdb9a3fa --accept --reason "Strong match - proceeding"
  93        0.035 clear
  94        0.115 python -m scripts.02_decide_job --uuid cdb9a3fa --accept --reason "Strong match - proceeding"
  95        0.008 clear
  96        0.097 python -m scripts.02_decide_job --uuid cdb9a3fa --accept --reason "Strong match - proceeding"
  97        4.029 code scripts/03_tailor_job_data.py
  98        0.559 python  .\scripts\03_tailor_job_data.py  --uuid cdb9a3fa --version llm-v1
  99        0.023 ls .\data\jobs\
 100        0.234 clear
 101        9.330 python  .\scripts\03_tailor_job_data.py  --uuid cdb9a3fa --version llm-v1
 102        3.831 code .\user_guide\v0\script_guides\03_tailor_job_data.md
 103        4.109 code scripts/04_generate_resume_intermediate.py
 104        0.009 clear
 105       30.731 python scripts/04_generate_resume_intermediate.py --uuid 00001_cdb9a3fa --version llm-tailored-v1 --model grok-3
 106        4.045 code .\user_guide\v0\script_guides\04_generate_resume_intermediate.md
 107       21.424 npm install -g cline
 108        0.254 clear
 109        3.929 code scripts/05_render_resume.py
 110        0.294 python scripts/05_render_resume.py --uuid cdb9a3fa --version llm-tailored-v1 --all
 111        0.248 clear
 112        0.310 python scripts/05_render_resume.py --uuid cdb9a3fa --version llm-tailored-v1 --all
 113        0.231 clear
 114        0.287 python scripts/05_render_resume.py --uuid cdb9a3fa --version llm-tailored-v1 --all
 115        0.232 clear
 116        0.280 python scripts/05_render_resume.py --uuid cdb9a3fa --version llm-tailored-v1 --all
 117        0.233 clear
 118        0.292 python scripts/05_render_resume.py --uuid cdb9a3fa --version llm-tailored-v1 --all
 119        0.499 python scripts/05_render_resume.py --uuid cdb9a3fa --version llm-tailored-v1 --all
 120        4.009 code scripts/06_generate_cover_intermediate.py
 121        0.010 clear
 122        0.570 python scripts/06_generate_cover_intermediate.py --uuid cdb9a3fa --version v1
 123        4.038 code scripts/07_render_cover_letter.py
 124        0.009 clear
 125        0.594 python scripts/06_generate_cover_intermediate.py --uuid cdb9a3fa --version v1
 126        0.008 clear
 127        9.097 python scripts/06_generate_cover_intermediate.py --uuid cdb9a3fa --version v1
 128        0.233 clear
 129        7.830 python scripts/06_generate_cover_intermediate.py --uuid cdb9a3fa --version v1
 130        0.064 python scripts/07_render_cover_letter.py --uuid cdb9a3fa --version v1
 131        0.009 clear
 132        0.189 python scripts/07_render_cover_letter.py --uuid cdb9a3fa --version v1
 133        4.019 code scripts/08_update_application_status.py
 134        0.105 python scripts/08_update_application_status.py --uuid cdb9a3fa apply --date 2026-02-05 --method "Company Site" --notes "Tailored cover attached"
 135        3.351 gitq
 136        4.093 code .\intake\00002.PostScript.02052026.2243.md
 137        0.234 clear
 138        0.072 python scripts/score_job.py intake/00002.PostScript.02052026.2243.md
 139        9.534 python .\scripts\01_score_job.py intake/00002.PostScript.02052026.2243.md
 140        4.012 code scripts/055_company_research.py
 141        0.071 python .\scripts\055_company_research.py -uuid 29bbe424 --model grok-3
 142        0.065 python -m scripts.055_company_research -uuid 29bbe424 --model grok-3
 143        0.008 clear
 144        0.598 python -m scripts.055_company_research -uuid 29bbe424 --model grok-3
 145        6.002 python -m scripts.055_company_research --uuid 29bbe424 --model grok-3
 146        0.009 clear
 147        2.973 python -m scripts.055_company_research --uuid 29bbe424 --model grok-3
 148        0.281 clear
 149        8.669 python scripts\01_score_job.py "C:\jobsearch\intake\00002.PostScript.02052026.2243.md" --no-move
 150        0.352 python scripts\02_decide_job.py --uuid 402a89d6 --accept --reason "Strong 85% match — excellent AWS & data pipeline alignment, willing to upskill on …
 151       11.683 python scripts\03_tailor_job_data.py --uuid 402a89d6 --version v2-with-company --temperature 0.0
 152       45.563 python scripts\04_generate_resume_intermediate.py --uuid 402a89d6 --version v1-postscript --model grok-3
 153        0.381 python .\scripts\05_render_resume.py --uuid 402a89d6 --version v1-postscript --model grok-3 --all 
 154        0.163 python .\scripts\05_render_resume.py --uuid 402a89d6 --version v1-postscript  --all 
 155        0.170 python .\scripts\05_render_resume.py --uuid 402a89d6 --version v1-postscript  --all 
 156        0.173 python .\scripts\05_render_resume.py --uuid 402a89d6 --version v1-postscript  --all 
 157        0.008 clear
 158        0.063 python .\scripts\05_render_resume.py --uuid 402a89d6 --version v1-postscript  --all 
 159        0.161 python .\scripts\05_render_resume.py --uuid 402a89d6 --version v1-postscript  --all 
 160        0.010 clear
 161        0.168 python .\scripts\05_render_resume.py --uuid 402a89d6 --version v1-postscript  --all 
 162        5.470 pip install docx2pdf
 163        0.432 pip freeze > .\requirements.txt
 164        0.009 clear
 165        0.241 python .\scripts\05_render_resume.py --uuid 402a89d6 --version v1-postscript  --all 
 166        0.235 clear
 167        0.221 python .\scripts\05_render_resume.py --uuid 402a89d6 --version v1-postscript  --all 
 168        0.008 clear
 169        0.291 python .\scripts\05_render_resume.py --uuid 402a89d6 --version v1-postscript  --all 
 170        0.237 clear
 171        7.241 python scripts\06_company_research.py --uuid 402a89d6 --version v1-postscript
 172        5.908 python scripts\07_generate_cover_intermediate.py --uuid 402a89d6 --version v1-postscript --model grok-3
 173       14.587 python scripts\07_generate_cover_intermediate.py --uuid 402a89d6 --version v1-postscript --model grok-3
 174        0.394 python scripts/08_render_cover_letter.py --uuid 402a89d6 --version v1-postscript
 175        0.047 history
 176        0.009 clear
 177        0.096 python scripts/09_update_application_status.py --uuid 402a89d6 apply --date 2026-02-05 --method "https://my.greenhouse.io/dashboard" --notes "Tailore…
 178        0.008 clear

